ID,copiesPerL,Station,Size_Class,Depth,Bin_Size,DNAperLiter,MassperLiter,ParticlesPerLiter,Flag,δ13CVPDB (‰),δ15NAir (‰),CarbonPerLiter_mg,NitrogenPerLiter_mg,Depth_m,Temperature,Salinity,Oxygen,Fluorescence,PAR,pH,lat,long,UTMX,UTMY,depth,do,Depth2
3-2-S-0-2,1642565540.9908903,3.2,0.2,Surface,1,3624.999999999999,NA,NA,FALSE,NA,NA,NA,NA,3,28.214134782608696,5.391554347826087,4.237889130434783,2.4661369565217393,3.9392271739130433,7.917869565217392,39.16369,-76.30631,387143,4335754,12.2,54,Surface
3-2-S-1-2,2266348777.30947,3.2,1.2,Surface,3.8,4338.235294117647,13.469999999999978,1751184793.6175833,FALSE,-29.556534126604845,14.661167242052143,1.18380605795578,0.1505789278913557,3,28.214134782608696,5.391554347826087,4.237889130434783,2.4661369565217393,3.9392271739130433,7.917869565217392,39.16369,-76.30631,387143,4335754,12.2,54,Surface
3-2-S-5,411603438.2543771,3.2,5,Surface,15,1451.9195612431442,8.515016975711692,78682115.18375617,FALSE,-30.007830072168726,21.671664385190454,0.5943267930547502,0.051946503239273946,3,28.214134782608696,5.391554347826087,4.237889130434783,2.4661369565217393,3.9392271739130433,7.917869565217392,39.16369,-76.30631,387143,4335754,12.2,54,Surface
3-2-S-20,28922994.37934794,3.2,20,Surface,33,128.94230769230768,0.3802153846153849,2239419.940448375,FALSE,-26.983512424619782,10.302415848334512,0.045137776627478046,0.007009274488622836,3,28.214134782608696,5.391554347826087,4.237889130434783,2.4661369565217393,3.9392271739130433,7.917869565217392,39.16369,-76.30631,387143,4335754,12.2,54,Surface
3-2-S-53,22691842.419170506,3.2,53,Surface,127,161.92307692307693,0.34461538461538416,405558.7999226507,FALSE,-27.27899242185768,12.200028732391255,0.05085286575159301,0.007380638315971256,3,28.214134782608696,5.391554347826087,4.237889130434783,2.4661369565217393,3.9392271739130433,7.917869565217392,39.16369,-76.30631,387143,4335754,12.2,54,Surface
3-2-S-180,1413071.8601294593,3.2,180,Surface,320,6.742603550295858,0.19446923076923017,22085.32353119902,FALSE,-30.895076732178655,12.95314793222278,0.01977322771813512,0.0020724987947212596,3,28.214134782608696,5.391554347826087,4.237889130434783,2.4661369565217393,3.9392271739130433,7.917869565217392,39.16369,-76.30631,387143,4335754,12.2,54,Surface
3-2-S-500,469443.60000000003,3.2,500,Surface,500,2.16,0.2490000000000002,1400.917311506142,FALSE,-30.717710650949996,41.35161248258856,0.014786360170934983,0.001671730057513598,3,28.214134782608696,5.391554347826087,4.237889130434783,2.4661369565217393,3.9392271739130433,7.917869565217392,39.16369,-76.30631,387143,4335754,12.2,54,Surface
3-2-B-0-2,1221751609.2178226,3.2,0.2,Bottom,1,4647.058823529412,NA,NA,FALSE,NA,NA,NA,NA,7,27.516167391304347,7.895728260869565,1.340467391304348,1.6939456521739131,0.01273586956521739,7.6725,39.16369,-76.30631,387143,4335754,12.2,54,NotSurface
3-2-B-1-2,3314204225.2824917,3.2,1.2,Bottom,3.8,10419.354838709674,18.37619047619048,2852537419.5187325,FALSE,-28.22410373484618,10.331091601453815,1.1164143220439444,0.14588060378536746,7,27.516167391304347,7.895728260869565,1.340467391304348,1.6939456521739131,0.01273586956521739,7.6725,39.16369,-76.30631,387143,4335754,12.2,54,NotSurface
3-2-B-5,518845285.6018113,3.2,5,Bottom,15,2256.410256410256,12.274871794871794,126522116.24009936,FALSE,-28.88855442994023,10.317437875445737,0.5545078346037663,0.06916617847770938,7,27.516167391304347,7.895728260869565,1.340467391304348,1.6939456521739131,0.01273586956521739,7.6725,39.16369,-76.30631,387143,4335754,12.2,54,NotSurface
